location,id,n_bedrooms,n_bathrooms,HouseType,sq_mt_built,buy_price,built_year,has_storage_room,has_parking,has_terrace,has_fitted_wardrobes
"Justicia, Madrid city",VM2404040,3.0,4.0,Flat,235.0,"2,490,000",,0,0,0,1
"Hispanoamérica, Madrid city",VM2404041,3.0,4.0,Flat,220.0,"1,850,000",,0,1,0,0
"Castellana, Madrid city",VM2404050,4.0,5.0,Flat,244.0,"2,950,000",,1,0,0,1
"Palos de Moguer, Madrid city",ONM2404002,,,Building,87.0,"597,000",,1,0,1,0
"Guindalera, Madrid city",VM2404038,2.0,2.0,Flat,102.0,"860,000",197.0,0,1,1,0
"Lista, Madrid city",VM2404031,2.0,2.0,Flat,90.0,"1,150,000",,0,0,1,0
"Argüelles, Madrid city",VM2404033,3.0,2.0,Flat,141.0,"975,000",,1,0,0,1
"El Viso, Madrid city",VM2404034,9.0,5.0,House,461.0,"3,900,000",,0,0,0,0
"Lista, Madrid city",VM2404035,2.0,2.0,Flat,72.0,"679,000",,0,0,0,0
"Castellana, Madrid city",VM2404025,5.0,5.0,Flat,284.0,"3,600,000",,1,1,1,1
"Recoletos, Madrid city",VM2404026,3.0,4.0,Flat,219.0,"4,150,000",,1,0,0,1
Nuevo Baztán,VMN2404006,7.0,7.0,House,820.0,"1,580,000",,1,1,0,0
"Monte Alina, Madrid Noroeste",VMO2404004,7.0,7.0,House,986.0,"2,450,000",,0,0,1,0
"Recoletos, Madrid city",VM2404021,4.0,4.0,Flat,292.0,"5,550,000",,1,0,0,0
"Goya, Madrid city",VM2404017,5.0,5.0,Flat,379.0,"3,600,000",,1,0,1,0
"Almagro, Madrid city",VM2404012,3.0,4.0,Flat,281.0,"2,945,000",,0,1,1,0
"El Cantizal, Madrid Noroeste",VMO2404002,6.0,4.0,House,477.0,"1,392,000",,1,0,1,1
"Montecillo, Madrid Noroeste",VMO2404003,6.0,5.0,House,470.0,"1,250,000",,0,0,1,0
"Recoletos, Madrid city",VM2404014,4.0,5.0,Flat,471.0,"7,500,000",,0,0,0,0
"Palomas, Madrid Norte",VMN2404001,6.0,5.0,House,230.0,"1,300,000",,0,0,1,0
"Justicia, Madrid city",VM2404008,2.0,2.0,Flat,104.0,"1,230,000",,0,0,0,0
"Mirasierra, Madrid Norte",VMN2404003,4.0,5.0,House,285.0,"1,550,000",,0,0,0,0
"Jerónimos, Madrid city",VM2404003,3.0,4.0,Flat,185.0,"985,000",,0,1,1,0
"Recoletos, Madrid city",VM2404002,3.0,2.0,Flat,134.0,"2,195,000",,0,0,0,0
"Castellana, Madrid city",VM2404006,5.0,2.0,Flat,231.0,"2,550,000",,0,0,0,0
"Villafranca del castillo, Madrid Noroeste",VMO2403017,8.0,9.0,House,750.0,"1,325,000",198.0,1,0,0,0
"Sanchinarro, Madrid Norte",VMN2403009,4.0,3.0,Flat,169.0,"680,000",,0,1,0,0
"Santo Domingo, Madrid Norte",VMN2403008,5.0,4.0,Villa,300.0,"995,000",198.0,1,1,1,0
"Zona Estación, Madrid Noroeste",VMO2403015,5.0,5.0,House,358.0,"1,150,000",,0,0,1,0
"Universidad, Madrid city",VM2403085,3.0,2.0,Flat,75.0,"435,000",,0,0,1,0
"Justicia, Madrid city",VM2403086,6.0,,Flat,257.0,"1,665,000",,0,0,0,0
"Ibiza, Madrid city",VM2403087,3.0,2.0,House,94.0,"1,030,000",,0,0,1,0
"Cuatro Caminos, Madrid city",VM2403089,4.0,2.0,House,477.0,"1,395,000",,0,0,0,0
"Guindalera, Madrid city",ONM2403004,,,New development,262.5,"998,500",,0,0,0,0
"Fuente del Berro, Madrid city",VM2403075,8.0,3.0,House,207.0,"1,350,000",,0,0,0,0
"Goya, Madrid city",VM2403076,3.0,3.0,House,142.0,"1,990,000",,0,0,1,0
"Niño Jesús, Madrid city",VM2403077,4.0,4.0,Flat,248.0,"2,200,000",,0,1,0,0
"Trafalgar, Madrid city",VM2403069,2.0,2.0,Flat,94.0,"839,000",,0,0,0,0
"Trafalgar, Madrid city",VM2403070,2.0,2.0,Flat,94.0,"839,000",,0,0,0,0
"Lavapiés, Madrid city",VM2403072,1.0,1.0,Flat,71.0,"375,000",,0,0,0,0
"Valdemarín, Madrid Noroeste",ONM2403003,,,Villa,418.5,"2,184,000",,0,0,1,0
"Sol, Madrid city",VM2403064,5.0,5.0,Flat,448.0,"4,200,000",,0,0,0,0
"Goya, Madrid city",VM2403068,3.0,4.0,Flat,132.0,"1,430,000",,0,0,0,1
Fuente el Saz de Jarama,VMN2403007,5.0,2.0,House,474.0,"1,150,000",,0,0,1,1
"Goya, Madrid city",VM2403059,3.0,3.0,Flat,145.0,"1,350,000",,0,0,0,1
"Almagro, Madrid city",VM2403060,2.0,2.0,House,71.0,"1,250,000",,0,1,1,0
"Ciudalcampo, Madrid Norte",VMN2403006,9.0,6.0,House,545.0,"1,125,000",,0,1,0,0
"Recoletos, Madrid city",VM2403061,4.0,5.0,Flat,300.0,"5,490,000",,0,0,0,1
"Carretera el Plantio, Madrid Noroeste",VMO2403013,6.0,5.0,Duplex,390.0,"1,150,000",,1,1,1,0
"Somosaguas, Madrid Noroeste",VMO2403011,5.0,5.0,House,336.0,"1,550,000",,1,1,0,0
"Goya, Madrid city",VM2403052,3.0,3.0,Flat,182.0,"1,870,000",,1,0,0,0
"Justicia, Madrid city",VM2403050,2.0,2.0,Flat,170.0,"1,950,000",,0,0,0,1
"Valdemarín, Madrid Noroeste",ONM2403002,,,Villa,680.0,"4,300,000",,0,0,0,0
"El Viso, Madrid city",VM2403051,10.0,8.0,House,995.0,"10,000,000",,0,0,1,0
"Justicia, Madrid city",VM2403041,1.0,2.0,Flat,65.0,"530,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2403043,1.0,1.0,Flat,82.0,"595,000",,0,0,0,0
"Castellana, Madrid city",VM2403042,4.0,5.0,Flat,488.0,"5,000,000",,0,0,0,0
"Castellana, Madrid city",VM2403046,4.0,5.0,Flat,584.0,"7,000,000",,1,0,0,0
"Recoletos, Madrid city",VM2403031,5.0,3.0,Flat,518.0,"5,400,000",,0,0,0,0
"Goya, Madrid city",VM2403034,3.0,4.0,Flat,206.0,"2,700,000",,0,0,0,1
"Almagro, Madrid city",VM2403039,2.0,2.0,Flat,85.0,"600,000",,0,0,0,0
"Recoletos, Madrid city",VM2403040,3.0,3.0,Flat,255.0,"4,200,000",,0,0,0,1
"Zona Pueblo, Madrid Noroeste",VMO2403005,6.0,6.0,House,450.0,"1,615,000",,0,1,0,1
"Zona Norte, Madrid Noroeste",VMO2403006,4.0,3.0,House,257.0,"870,000",,0,0,1,0
"Recoletos, Madrid city",VM2403025,4.0,3.0,Flat,243.0,"3,150,000",,0,0,0,0
"Almagro, Madrid city",VM2403026,4.0,2.0,Flat,384.0,"3,300,000",,1,1,0,0
"Peñagrande, Madrid city",ONM2403001,,,Homes,91.5,"342,000",,0,0,1,0
"Recoletos, Madrid city",VM2403016,3.0,3.0,Flat,133.0,"1,480,000",,0,0,1,0
"Goya, Madrid city",VM2403019,2.0,2.0,House,86.0,"850,000",,0,0,1,0
"Prosperidad, Madrid city",VM2403020,2.0,2.0,Flat,82.0,"595,000",,0,0,0,0
"Universidad, Madrid city",VM2403013,1.0,1.0,Flat,100.0,"745,000",,0,0,0,0
"El Soto de la Moraleja, Madrid Norte",VMN2403002,4.0,3.0,Flat,234.0,"1,320,000",,1,1,1,1
"Justicia, Madrid city",VM2403010,3.0,2.0,Flat,181.0,"1,265,000",,0,0,1,1
"Aravaca, Madrid Noroeste",VMO2403003,5.0,5.0,House,454.0,"2,500,000",,1,1,1,0
"Monte Alina, Madrid Noroeste",VMO2403002,7.0,8.0,House,,"4,275,000",,0,0,0,0
"Lista, Madrid city",VM2402096,3.0,4.0,Flat,206.0,"1,850,000",,1,0,0,0
"Zona Avenida de Europa, Madrid Noroeste",VMO2402018,4.0,2.0,Flat,156.0,"790,000",,1,1,1,0
Valdemorillo,VMO2402019,4.0,2.0,House,286.0,"360,000",,1,0,0,0
"Trafalgar, Madrid city",VM2402091,2.0,1.0,House,78.0,"950,000",,0,0,1,1
"Somosaguas, Madrid Noroeste",VMO2402017,6.0,4.0,House,341.0,"1,150,000",,0,1,0,0
"Justicia, Madrid city",VM2402094,3.0,2.0,Flat,131.0,"1,345,000",,0,0,0,1
"Ciudalcampo, Madrid Norte",VMN2402010,4.0,5.0,House,535.0,"1,990,000",,0,0,0,0
"Cuatro Caminos, Madrid city",VM2402089,,3.0,Flat,193.0,"1,170,000",,0,0,1,0
"Vallehermoso, Madrid city",VM2402090,3.0,4.0,Flat,202.0,"1,320,000",,0,0,1,0
"Universidad, Madrid city",VM2402078,1.0,1.0,Flat,51.0,"235,000",,0,0,0,0
"Legazpi, Madrid city",VM2402080,5.0,4.0,House,380.0,"1,250,000",,0,0,1,0
"Castellana, Madrid city",VM2402083,4.0,3.0,Flat,114.0,"1,730,000",,0,0,0,0
"Ciudad Universitaria, Madrid city",VM2402087,5.0,6.0,Flat,604.0,"2,600,000",,0,1,1,0
"Valdemarín, Madrid Noroeste",VMO2402015,4.0,5.0,Flat,330.0,"1,450,000",,1,1,1,0
"Las Encinas, Madrid Noroeste",VMO2402013,4.0,2.0,House,446.0,"1,699,000",,0,0,0,0
"Las Encinas, Madrid Noroeste",VMO2402011,,,Land,,"1,700,000",,0,0,0,0
"Las Encinas, Madrid Noroeste",VMO2402012,,,Land,,"1,500,000",,0,0,0,0
"Castellana, Madrid city",VM2402069,3.0,2.0,Flat,258.0,"2,580,000",,0,0,0,0
"Ciudad Universitaria, Madrid city",ONM2402001,,,New development,479.0,"1,245,000",,0,1,0,0
"Peñagrande, Madrid city",VM2402062,7.0,5.0,House,439.0,"1,440,000",,0,0,1,0
"Encinar de los Reyes, Madrid Norte",VMN2212009,4.0,5.0,Flat,329.0,"1,400,000",201.0,1,1,1,0
"Ciudad Universitaria, Madrid city",ONM2302002,,,Building,717.5,"2,970,000",,0,0,1,0
"Alcobendas, Madrid Norte",VMN2402006,4.0,4.0,House,209.0,"935,000",,1,1,0,0
"Nueva España, Madrid city",VM2402058,4.0,3.0,Flat,280.0,"1,900,000",,0,0,1,0
"Castellana, Madrid city",VM2402047,3.0,4.0,Flat,316.0,"3,600,000",,0,0,0,0
"Nueva España, Madrid city",VM2402051,4.0,5.0,Flat,164.0,"1,775,000",,0,0,1,0
"Aravaca, Madrid Noroeste",VMO2402008,5.0,3.0,House,301.0,"1,330,000",,0,0,0,1
"Piovera, Madrid Norte",VMN2402004,6.0,7.0,House,,"6,270,000",,0,0,1,1
"Castellana, Madrid city",VM2402039,4.0,5.0,Flat,462.0,"6,500,000",,0,0,1,0
"Goya, Madrid city",VM2402040,3.0,5.0,Flat,244.0,"2,200,000",,1,0,0,0
"Goya, Madrid city",VM2402041,4.0,2.0,Flat,191.0,"1,180,000",,0,0,0,0
"El Viso, Madrid city",VM2403090,2.0,2.0,Flat,93.0,"945,000",,0,1,0,0
"Almagro, Madrid city",VM2402033,2.0,3.0,Flat,146.0,"1,300,000",,1,0,0,0
"Recoletos, Madrid city",VM2402027,3.0,3.0,Flat,187.0,"2,395,000",,0,0,1,0
"Sol, Madrid city",VM2402032,3.0,2.0,Flat,132.0,"760,000",,1,0,0,0
"Las Marías, Madrid Noroeste",VMO2403007,8.0,6.0,House,881.0,"1,500,000",,1,0,0,0
"Las Marías, Madrid Noroeste",VMO2403008,8.0,6.0,House,881.0,"2,850,000",,1,0,0,0
"Zona Pueblo, Madrid Noroeste",VMO2402004,4.0,3.0,Flat,239.0,"990,000",,0,0,1,0
"Recoletos, Madrid city",VM2402020,3.0,3.0,Flat,110.0,"1,500,000",,0,0,0,0
"Recoletos, Madrid city",VM2402014,5.0,4.0,House,424.0,"4,500,000",,0,1,0,0
"Jerónimos, Madrid city",VM2402015,4.0,5.0,Flat,403.0,"9,250,000",,0,0,0,0
"Recoletos, Madrid city",VM2402016,3.0,4.0,Flat,148.0,"1,550,000",,0,0,0,0
"Ríos Rosas, Madrid city",VM2402003,3.0,3.0,Flat,148.0,"1,065,000",,0,0,0,0
"Goya, Madrid city",VM2401085,2.0,2.0,Flat,166.0,"685,000",,0,0,1,0
"Gaztambide, Madrid city",VM2401086,5.0,3.0,Flat,276.0,"1,440,000",,1,1,1,0
"Sol, Madrid city",VM2401081,3.0,3.0,Flat,112.0,"989,000",,0,0,0,0
"Argüelles, Madrid city",VM2401080,5.0,7.0,Flat,323.0,"2,990,000",,1,1,1,0
"Universidad, Madrid city",VM2401082,3.0,3.0,Flat,133.0,"1,150,000",,0,0,0,0
"Recoletos, Madrid city",VM2401078,2.0,2.0,Flat,112.0,"1,850,000",,0,0,0,0
"Zona Pueblo, Madrid Noroeste",VMO2401010,7.0,8.0,House,,"3,950,000",,0,1,1,0
"Almagro, Madrid city",VM2401077,5.0,4.0,House,504.0,"6,000,000",,1,0,1,0
"Justicia, Madrid city",VM2401075,2.0,2.0,Flat,179.0,"2,400,000",,0,0,0,0
"Goya, Madrid city",VM2401076,5.0,5.0,Flat,300.0,"4,000,000",,0,1,1,0
"Recoletos, Madrid city",VM2401068,4.0,5.0,Flat,376.0,"4,950,000",,1,1,0,0
"Ciudalcampo, Madrid Norte",VMN2401007,6.0,6.0,House,507.0,"2,490,000",,1,1,1,0
"Castellana, Madrid city",VM2401057,1.0,1.0,Flat,48.0,"485,000",,0,0,0,0
"Corralejos, Madrid Norte",VMN2401006,3.0,2.0,Flat,171.0,"749,000",,1,0,1,0
"Jerónimos, Madrid city",VM2401053,4.0,4.0,Flat,322.0,"4,347,000",,0,0,0,1
"Majadahonda, Madrid Noroeste",VMO2401006,5.0,6.0,House,800.0,"2,295,000",,0,0,1,0
"Zona Avenida de Europa, Madrid Noroeste",ONM2401003,,,Villa,422.0,"1,495,000",,0,0,1,0
"Jerónimos, Madrid city",VM2401040,5.0,8.0,House,589.0,"17,800,000",,0,0,1,0
"Zona Pueblo, Madrid Noroeste",VMO2401003,4.0,5.0,House,349.0,"1,150,000",,0,0,1,0
"Las Lomas, Madrid Noroeste",VMO2401004,6.0,6.0,House,475.0,"1,550,000",,1,1,0,0
"Ventas, Madrid Norte",ONM2401002,,,Lofts,67.0,"290,000",,0,0,0,0
"Alameda de Osuna, Madrid Norte",VMN2401003,6.0,3.0,House,363.0,"860,000",,0,1,1,0
"Ibiza, Madrid city",VM2401023,3.0,2.0,Flat,133.0,"1,050,000",,0,0,0,0
"Almagro, Madrid city",VM2401009,5.0,6.0,Flat,672.0,"6,600,000",,1,0,1,0
"Piovera, Madrid Norte",ONM2401001,,,Building,361.0,"2,500,000",,0,1,1,0
"Encinar de los Reyes, Madrid Norte",VMN2305004,5.0,4.0,Flat,318.0,"1,290,000",201.0,1,1,1,0
"Recoletos, Madrid city",VM2401007,4.0,2.0,Flat,205.0,"1,190,000",,0,1,1,0
"Lista, Madrid city",VM2312076,3.0,4.0,Flat,348.0,"2,590,000",,1,0,1,0
"Castellana, Madrid city",VM2312071,3.0,3.0,Flat,116.0,"949,000",,0,0,0,0
"Niño Jesús, Madrid city",VM2312067,6.0,4.0,Flat,430.0,"2,350,000",,1,1,1,0
"Cuzco, Madrid city",VM2312068,3.0,2.0,Flat,135.0,"898,000",,0,0,1,0
"Universidad, Madrid city",VM2312069,1.0,1.0,Flat,46.0,"275,000",,0,0,0,0
"Recoletos, Madrid city",VM2312064,4.0,4.0,Flat,240.0,"3,600,000",,1,0,0,0
"Recoletos, Madrid city",VM2312057,1.0,1.0,Flat,72.0,"415,000",,0,0,0,1
"Universidad, Madrid city",VM2312056,4.0,4.0,Flat,120.0,"900,000",,0,0,0,0
"Palacio, Madrid city",VM2312048,3.0,3.0,Flat,133.0,"480,000",,0,0,0,0
"Justicia, Madrid city",VM2312042,1.0,2.0,Flat,83.0,"610,000",,0,0,1,0
"Jerónimos, Madrid city",VM2312043,5.0,3.0,Flat,228.0,"2,850,000",,0,0,0,0
"Justicia, Madrid city",VM2312044,4.0,5.0,Flat,321.0,"3,600,000",190.0,0,0,0,0
"Valdemarín, Madrid Noroeste",VMO2312002,7.0,8.0,House,,"5,900,000",,1,0,0,0
"Universidad, Madrid city",VM2312034,3.0,2.0,Flat,141.0,"680,000",,0,1,0,0
"Ríos Rosas, Madrid city",VM2312030,4.0,3.0,House,177.0,"1,510,000",,1,0,1,0
"Goya, Madrid city",VM2312023,4.0,5.0,Flat,270.0,"3,500,000",,1,0,0,1
"Universidad, Madrid city",VM2312012,3.0,3.0,Flat,107.0,"899,000",,0,0,0,0
"Jerónimos, Madrid city",VM2312016,4.0,4.0,House,249.0,"2,800,000",,1,1,1,1
"Lista, Madrid city",VM2312019,4.0,3.0,Flat,188.0,"1,599,000",,0,1,1,0
"Castellana, Madrid city",VM2312021,4.0,5.0,Flat,271.0,"3,990,000",,1,0,0,0
"Lista, Madrid city",VM2312001,3.0,4.0,Flat,193.0,"2,490,000",,0,0,0,0
"Jerónimos, Madrid city",VM2312005,3.0,3.0,Flat,98.0,"1,129,000",,0,0,0,0
"Goya, Madrid city",VM2311078,3.0,2.0,House,174.0,"2,150,000",,0,0,1,0
"Sol, Madrid city",VM2311066,4.0,4.0,Flat,110.0,"979,000",,0,0,0,0
"Cuzco, Madrid city",VM2311070,1.0,1.0,Flat,29.0,"152,000",,0,0,0,0
"Cuzco, Madrid city",VM2311072,1.0,1.0,Flat,47.0,"190,000",,0,0,0,0
"Cuzco, Madrid city",VM2311071,1.0,1.0,Flat,30.0,"157,000",,0,0,0,0
"El Soto de la Moraleja, Madrid Norte",VMN2311023,3.0,3.0,House,212.0,"1,060,000",,0,1,0,0
"Universidad, Madrid city",VM2311049,3.0,3.0,House,117.0,"889,000",,0,0,0,0
"Sol, Madrid city",VM2311050,2.0,2.0,Flat,86.0,"739,000",,0,0,0,0
"Valdeacederas, Madrid city",VM2311054,2.0,2.0,Flat,68.0,"350,000",,0,0,0,0
"Lista, Madrid city",VM2311055,3.0,3.0,Flat,176.0,"1,649,000",,0,0,1,1
"Nueva España, Madrid city",VM2311058,4.0,4.0,Flat,213.0,"1,670,000",,1,1,1,0
"Piovera, Madrid Norte",VMN2311021,5.0,6.0,House,452.0,"2,800,000",,1,0,0,1
"Sol, Madrid city",VM2311061,3.0,3.0,Flat,139.0,"1,119,000",,0,0,0,0
"Goya, Madrid city",VM2311059,2.0,2.0,Flat,73.0,"649,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2311063,2.0,2.0,House,90.0,"850,000",,0,0,1,0
"Ibiza, Madrid city",VM2311045,3.0,2.0,Flat,149.0,"875,000",,0,0,0,0
"Universidad, Madrid city",VM2311048,2.0,2.0,Flat,64.0,"629,000",,0,0,0,0
"El Soto de la Moraleja, Madrid Norte",VMN2311015,5.0,4.0,House,446.0,"2,150,000",,0,0,1,1
"Valdemarín, Madrid Noroeste",VMO2311007,4.0,4.0,Flat,260.0,"1,150,000",,1,1,1,0
"Hispanoamérica, Madrid city",VM2312052,5.0,4.0,Flat,185.0,"1,420,000",,0,0,0,0
"Castellana, Madrid city",VM2311033,5.0,4.0,Flat,305.0,"4,750,000",,0,0,0,0
"El Viso, Madrid city",ONM2311004,,,New development,332.0,"5,250,000",,1,1,1,0
"Fuentelarreina, Madrid city",VM2311037,5.0,8.0,House,881.0,"3,000,000",,0,0,0,0
"Bellas Vistas, Madrid city",VM2311039,2.0,1.0,Flat,76.0,"315,000",,0,0,0,0
"Sol, Madrid city",VM2311030,4.0,4.0,Flat,193.0,"1,299,000",,0,0,0,0
"Montepríncipe, Madrid Noroeste",VMO2311005,7.0,7.0,House,,"2,200,000",,0,0,1,0
"Zona Pueblo, Madrid Noroeste",VMO2311008,5.0,6.0,House,977.0,"4,500,000",,1,1,1,1
"Alcobendas, Madrid Norte",ONM2311002,,,Building,94.0,"371,500",,0,0,1,0
"Puente de Vallecas, Madrid city",ONM2206005,,,Building,55.0,"259,000",,1,1,1,1
"Prado Largo, Madrid Noroeste",VMO2311003,8.0,7.0,House,925.0,"4,900,000",,1,0,0,0
"Almagro, Madrid city",VM2311018,4.0,5.0,Flat,672.0,"6,800,000",,1,1,1,0
"Guindalera, Madrid city",VM2311009,4.0,3.0,Flat,172.0,"695,000",,0,1,1,0
"Castilla, Madrid city",VM2311010,2.0,2.0,Flat,94.0,"560,000",,1,1,0,0
"Universidad, Madrid city",VM2311013,2.0,2.0,Flat,97.0,"799,000",,0,1,0,1
"Sol, Madrid city",VM2311014,2.0,2.0,Flat,100.0,"689,000",,0,0,0,0
"Fresno Norte, Madrid Norte",VMN2311005,4.0,4.0,House,428.0,"990,000",,1,0,0,0
"Colina, Madrid Norte",VMN2311007,4.0,5.0,House,468.0,"2,600,000",,1,1,1,0
"Zona Pueblo, Madrid Noroeste",VMO2311001,6.0,6.0,House,409.0,"1,590,000",201.0,0,0,1,0
"Ciudalcampo, Madrid Norte",VMN2311002,5.0,6.0,House,710.0,"2,790,000",,1,0,1,0
"Puente Nuevo, Madrid Noroeste",ONM2311001,,,New development,701.5,"715,000",,0,0,0,0
"Nueva España, Madrid city",VM2310105,5.0,5.0,House,439.0,"3,500,000",,1,0,1,1
"Nueva España, Madrid city",VM2310109,5.0,6.0,House,382.0,"3,600,000",,0,0,1,0
"Jerónimos, Madrid city",VM2310099,2.0,2.0,Flat,124.0,"1,200,000",,0,1,0,0
"Cortes, Madrid city",VM2310101,,1.0,Flat,48.0,"310,000",,1,0,0,0
"Trafalgar, Madrid city",ONM2310003,,,New development,202.0,"2,230,000",,0,1,0,0
"Arapiles, Madrid city",VM2310094,2.0,2.0,House,115.0,"850,000",,0,0,1,0
"Trafalgar, Madrid city",VM2310087,4.0,2.0,Flat,174.0,"1,195,000",,0,0,1,0
"Sol, Madrid city",VM2310088,2.0,2.0,Flat,104.0,"749,000",,0,0,0,0
"Universidad, Madrid city",VM2310089,2.0,2.0,Flat,142.0,"959,000",,0,0,0,0
"Vallehermoso, Madrid city",VM2310086,1.0,1.0,Loft,64.0,"390,000",,1,0,0,0
"Niño Jesús, Madrid city",VM2310079,3.0,2.0,Flat,107.0,"690,000",,0,0,0,0
"Argüelles, Madrid city",VM2310074,2.0,2.0,Flat,121.0,"1,100,000",,1,0,0,0
"Cuzco, Madrid city",VM2310075,1.0,1.0,Flat,28.0,"170,000",,0,0,0,0
"Guindalera, Madrid city",VM2310077,3.0,2.0,Flat,140.0,"589,000",,0,0,0,0
"Recoletos, Madrid city",VM2310071,4.0,2.0,Flat,303.0,"3,250,000",,0,0,0,0
"Castellana, Madrid city",VM2310059,4.0,5.0,Flat,322.0,"4,590,000",,1,0,0,0
"Colonia, Madrid Noroeste",VMO2310006,4.0,3.0,Villa,319.0,"999,000",,1,0,1,0
"Gaztambide, Madrid city",VM2310057,5.0,6.0,Flat,243.0,"1,450,000",,0,1,1,0
"Valdelagua, Madrid Norte",VMN2310009,4.0,3.0,House,282.0,"575,000",,0,0,1,0
"Delicias, Madrid city",VM2310056,4.0,2.0,Flat,171.0,"1,139,000",,0,1,0,0
"Zona Norte, Madrid Noroeste",VMO2310003,7.0,7.0,Villa,,"9,000,000",,0,0,0,0
"Delicias, Madrid city",ONM2310001,,,New development,204.0,"819,000",,1,1,1,0
"Cuzco, Madrid city",VM2310043,6.0,2.0,Flat,383.0,"2,100,000",,0,1,1,0
"Somosaguas, Madrid Noroeste",VMO2310002,3.0,3.0,Flat,150.0,"1,170,000",200.0,0,0,0,0
"El Viso, Madrid city",VM2310041,4.0,5.0,Flat,380.0,"3,950,000",,0,1,0,0
"Castellana, Madrid city",VM2310040,1.0,1.0,Flat,51.0,"525,000",,0,0,0,0
"Goya, Madrid city",VM2310036,2.0,2.0,Flat,92.0,"875,000",,0,0,0,0
"Sanchinarro, Madrid Norte",VMN2310006,2.0,2.0,Flat,107.0,"545,000",,1,0,1,0
"Pacífico, Madrid city",VM2310019,2.0,2.0,Flat,165.0,"465,000",,0,0,0,0
"Hispanoamérica, Madrid city",VM2309071,4.0,3.0,Flat,260.0,"1,750,000",,1,1,1,0
