PK,BARRIO
5247718,SANTA EUGENIA
10513260,EL VISO
62522,ROSAS
11020690,EL CAÑAVERAL
10892480,MIRASIERRA
5399592,COSTILLARES
10683482,PIOVERA
10513570,PALOMERAS BAJAS
10389300,ARCOS
5145458,DELICIAS
11047409,ESTRELLA
10389462,VALVERDE
10914277,ENSANCHE DE VALLECAS
10573098,PROSPERIDAD
10494524,PIOVERA
10546451,VALVERDE
10970537,TIMON
62217,EL VISO
10791922,BELLAS VISTAS
10756497,EL GOLOSO
5399221,CASCO H.VALLECAS
10683731,BUENAVISTA
10124515,CUATRO CAMINOS
10683504,NIÑO JESUS
54291,CANILLAS
10683657,EL SALVADOR
10620238,TIMON
4890144,SAN DIEGO
134214,HISPANOAMERICA
6451110,SIMANCAS
7076050,LA PAZ
5360,LAS AGUILAS
5361,GAZTAMBIDE
7251628,REJAS
7519017,EL VISO
6021,ALUCHE
6151244,SIMANCAS
5894,ACACIAS
106070,MIRASIERRA
5061,PALOMERAS SURESTE
5094142,CAMPAMENTO
5370,PUEBLO NUEVO
104515,ARGUELLES
5301107,ARGUELLES
8161607,EL GOLOSO
73981,ALUCHE
53866,NIÑO JESUS
5539,ALAMEDA DE OSUNA
4689857,NIÑO JESUS
4689826,NIÑO JESUS
5928,VENTAS
166144,MEDIA LEGUA
5382722,MEDIA LEGUA
4940671,VISTA ALEGRE
5380,ALUCHE
103611,PALOMAS
54309,ALUCHE
5360777,LUCERO
5953,SAN ANDRES
23111,MEDIA LEGUA
104310,LUCERO
23134,CASCO H.VALLECAS
5874,CAMPAMENTO
5391793,SAN PASCUAL
5247775,EL GOLOSO
5391709,ALMENARA
178919,VALDEFUENTES
134164,ACACIAS
5114461,VISTA ALEGRE
6001,ENTREVIAS
6165523,GUINDALERA
10494393,PIOVERA
174538,NIÑO JESUS
5353,ARAVACA
4702058,CIUDAD UNIVERSITARIA
6151194,ORCASITAS
10968046,PIOVERA
4693125,EL GOLOSO
4725170,ORCASUR
5973,VALDEZARZA
178421,CONCEPCION
134258,VALDEZARZA
179730,SIMANCAS
5784844,VALVERDE
5102856,VALDEMARIN
5055,ORCASUR
5451,PROSPERIDAD
62444,COSTILLARES
4666369,LEGAZPI
8158558,DELICIAS
5639,MARROQUINA
4702887,CIUDAD UNIVERSITARIA
62367,PUERTA BONITA
190711,TRAFALGAR
5044,LUCERO
5548,ARAPILES
180949,MEDIA LEGUA
180946,BERRUGUETE
4724285,LISTA
5299892,PALOS DE MOGUER
4724287,BUENAVISTA
180958,PINAR DEL REY
6802335,CASCO H.VALLECAS
167564,ACACIAS
5391701,PUERTA BONITA
134510,SIMANCAS
5114562,HISPANOAMERICA
5391687,VISTA ALEGRE
174530,ACACIAS
4735838,PROSPERIDAD
5196287,EL VISO
4689875,OPAÑEL
5227,CASTILLA
6799707,LOS ROSALES
5711521,LOS ROSALES
5975,UNIVERSIDAD
5500,EL PILAR
5035282,CORTES
181003,EL PILAR
134169,LEGAZPI
8161671,CASCO H.VALLECAS
6009,FONTARRON
5335,EL VISO
5236150,ARGUELLES
5388944,PALACIO
5885,PALACIO
5784991,LISTA
178882,CANILLAS
7693454,CANILLAS
181011,PALOMERAS SURESTE
5844,GUINDALERA
5785131,VISTA ALEGRE
4689360,NIÑO JESUS
6526664,HISPANOAMERICA
6526674,CANILLAS
5027288,CUATRO CAMINOS
5027289,RIOS ROSAS
5362709,RIOS ROSAS
5929,CONCEPCION
62446,QUINTANA
8158592,DELICIAS
4733728,REJAS
5963,COSTILLARES
5379594,COSTILLARES
177754,PUERTA BONITA
7693065,COSTILLARES
178894,PINAR DEL REY
8182123,CASCO H.VALLECAS
10474991,CASCO H.VALLECAS
5103040,ADELFAS
5785637,ADELFAS
6124880,ADELFAS
5836,NIÑO JESUS
5114565,ADELFAS
5114649,VALVERDE
5312922,VALDEFUENTES
62627,CASCO H.VICALVARO
178182,HORCAJO
5937,CASCO H.VALLECAS
6165600,CASCO H.VALLECAS
4689313,PEÑA GRANDE
5040,VALVERDE
4539315,ALMENDRALES
5878,EMBAJADORES
5043,APOSTOL SANTIAGO
5899,PALOMERAS BAJAS
4735839,PALOMERAS BAJAS
5391821,CASCO H.VALLECAS
5785748,ACACIAS
5543,APOSTOL SANTIAGO
5345,SAN JUAN BAUTISTA
105695,LOS ROSALES
5273543,EL SALVADOR
181020,VALLEHERMOSO
5785782,TIMON
10502289,TIMON
134325,ARGUELLES
4784641,VALVERDE
5066,PORTAZGO
4940395,PEÑA GRANDE
181029,REJAS
5114650,REJAS
10474928,ARAPILES
5786127,PROSPERIDAD
5398392,PROSPERIDAD
5455,CIUDAD JARDIN
5391834,PALOMAS
174501,PROSPERIDAD
23193,LAS AGUILAS
5250625,QUINTANA
134399,COSTILLARES
5738,CAMPAMENTO
4785095,CHOPERA
5892,ALUCHE
10014123,TRAFALGAR
73973,LOS ANGELES
5747,LOS ROSALES
53892,CASTILLA
5392503,CASTILLA
5047,VALLEHERMOSO
11543269,BUENAVISTA
5940,SIMANCAS
5532,VENTAS
31565,CANILLEJAS
4539404,PRADOLONGO
6020,MOSCARDO
5385348,PINAR DEL REY
174423,MARROQUINA
23407,PEÑA GRANDE
54316,ACACIAS
67314,ACACIAS
54314,ACACIAS
167638,CASCO H.VICALVARO
4785312,CORRALEJOS
5918,MEDIA LEGUA
4940386,SAN ISIDRO
32068,CANILLAS
5935,CASCO H.VALLECAS
4701983,COSTILLARES
6151466,QUINTANA
6979363,VISTA ALEGRE
6151745,ALUCHE
5234945,EL PARDO
5027412,VALLEHERMOSO
5914,MARROQUINA
7687814,PRADOLONGO
4666360,CANILLEJAS
4775250,VALVERDE
5786486,VALDEMARIN
4689660,CANILLAS
10474352,LA PAZ
10502007,NUEVA ESPAÑA
104425,CONCEPCION
134175,IMPERIAL
5400227,CUATRO CAMINOS
6231659,DELICIAS
5563,DELICIAS
5896,DELICIAS
5856,CUATRO CAMINOS
5565,PORTAZGO
6010,QUINTANA
5906,ENTREVIAS
5299910,NUMANCIA
180977,ADELFAS
6151521,SIMANCAS
4879843,LEGAZPI
178639,SAN PASCUAL
167808,CORRALEJOS
23425,PEÑA GRANDE
174428,SAN ANDRES
5041,CANILLAS
5972,ALUCHE
5958,LOS ANGELES
5466,NUEVA ESPAÑA
5854,CASA DE CAMPO
5443314,PEÑA GRANDE
4689476,ABRANTES
6008,NUMANCIA
5513,MARROQUINA
5392575,ZOFIO
6165897,VALVERDE
5817,PRADOLONGO
5786250,ABRANTES
10014249,ESTRELLA
178885,PINAR DEL REY
5056,ALMENDRALES
167634,CANILLAS
5476,EL PILAR
5945,SANTA EUGENIA
5071,CASCO HISTÓRICO DE VALLECAS
5054,ALMENARA
52573,SAN ISIDRO
5901,SAN JUAN BAUTISTA
167589,MARROQUINA
5392599,NUEVA ESPAÑA
181075,BUENAVISTA
5994,CIUDAD UNIVERSITARIA
5826,AEROPUERTO
5045,LAS AGUILAS
6012,VENTAS
5398038,GUINDALERA
8158133,CANILLAS
91118,VALLEHERMOSO
8158206,TIMON
179665,CASCO H.VICALVARO
5102537,COSTILLARES
8158096,CASTILLA
5052,BERRUGUETE
23210,ABRANTES
5918932,SAN JUAN BAUTISTA
5062,PALOMERAS SURESTE
4693126,ALAMEDA DE OSUNA
5063,ENTREVIAS
5064,NUMANCIA
5065,PALOMERAS SURESTE
5572,PALOMERAS BAJAS
4713359,BUTARQUE
6165684,CIUDAD JARDIN
4785132,VALDEFUENTES
5149217,CUATRO CAMINOS
178900,PINAR DEL REY
5992,BELLAS VISTAS
5734,FUENTE DEL BERRO
5379727,LA PAZ
5379726,LOS ANGELES
6022,CASTILLEJOS
5478,LA PAZ
5880,LUCERO
5398059,OPAÑEL
4890205,LEGAZPI
5346,PUERTA BONITA
91133,ARCOS
5209700,LOS CARMENES
5398079,BUENAVISTA
23110,FONTARRON
8161652,VALDEFUENTES
10619413,NUEVA ESPAÑA
23449,TRAFALGAR
5601,NIÑO JESUS
91132,PINAR DEL REY
181051,CANILLAS
62330,ARAVACA
5898,NUMANCIA
134230,VALDEZARZA
5398134,LOS ANGELES
5611,PUEBLO NUEVO
5630,HISPANOAMERICA
5398104,CASCO H.VICALVARO
4871260,PINAR DEL REY
178647,SAN PASCUAL
62722,PIOVERA
5904,FUENTE DEL BERRO
5907,VENTAS
178921,CANILLAS
167571,EL VISO
6165966,VALVERDE
134351,ALUCHE
4785401,EL GOLOSO
8157241,CASCO H.VALLECAS
5644,CAMPAMENTO
4940672,EL GOLOSO
5312606,DELICIAS
5364287,CASCO H.VICALVARO
58241,BELLAS VISTAS
4549323,LAS AGUILAS
5299172,CASCO H.VICALVARO
5633312,VALDEFUENTES
11055694,CASA DE CAMPO
4724002,CUATRO CAMINOS
5252087,CASCO H.VICALVARO
5633339,VALDEFUENTES
28779,ACACIAS
5632719,DELICIAS
5632789,ALAMEDA DE OSUNA
172970,PALOS DE MOGUER
5633412,PALOMERAS BAJAS
100359,UNIVERSIDAD
10936384,MIRASIERRA
58242,FONTARRON
10888967,BUTARQUE
4552951,LOS CARMENES
5981488,EMBAJADORES
5072,SAN ANDRES
5039,NUEVA ESPAÑA
10888974,NIÑO JESUS
8226010,JUSTICIA
5633199,ARAPILES
5633259,SAN JUAN BAUTISTA
58239,ARCOS
11647681,ENSANCHE DE VALLECAS
5633447,ROSAS
10904841,VALDEFUENTES
10888979,VALDEZARZA
4552960,ALMENARA
11184076,EMBAJADORES
5336,VALVERDE
5632722,CORRALEJOS
28783,CASCO H.BARAJAS
84666,ALMENDRALES
5633276,PEÑA GRANDE
5633456,ARCOS
5633393,CUATRO VIENTOS
5633332,CANILLAS
5073,SAN CRISTOBAL
10957922,LEGAZPI
5299025,ORCASITAS
5341,PALACIO
5633158,BUENAVISTA
5633600,CASCO H.VALLECAS
5633294,VALVERDE
5633382,LAS AGUILAS
5298904,BUENAVISTA
5299104,PUEBLO NUEVO
11647597,CANILLEJAS
5633460,REJAS
5252132,REJAS
132987,PACIFICO
10957943,VALDEFUENTES
132982,ARAVACA
5633582,CUATRO CAMINOS
28784,AMBROZ
5340,SAN CRISTOBAL
5633604,CASCO H.VALLECAS
187609,PROSPERIDAD
5633425,PALOMERAS SURESTE
11368108,PACIFICO
5633596,CASCO H.VICALVARO
11647575,EL CAÑAVERAL
187607,JUSTICIA
11508438,LOS ANGELES
10957917,MOSCARDO
10904800,VALVERDE
88758,GUINDALERA
10888929,HORCAJO
168220,PUEBLO NUEVO
12269488,VALDEACEDERAS
4552561,SAN PASCUAL
179661,CASCO H.VICALVARO
5273558,ABRANTES
5847,PEÑA GRANDE
8161687,QUINTANA
129931,BUENAVISTA
5653,PORTAZGO
5654,PROSPERIDAD
6124437,ARAPILES
91122,EL PLANTIO
6123533,ACACIAS
11017932,MIRASIERRA
6149808,BUTARQUE
190710,BUENAVISTA
8161546,CIUDAD JARDIN
6226729,PIOVERA
10524642,BELLAS VISTAS
8161458,GUINDALERA
10511924,VALVERDE
6151509,EL GOLOSO
6124460,HISPANOAMERICA
8161414,ARGUELLES
6822610,NIÑO JESUS
8161475,VALDEFUENTES
8161378,VALDEFUENTES
4775237,AMBROZ
181067,VALVERDE
167587,SAN ISIDRO
181088,PRADOLONGO
5809,COMILLAS
5398853,CONCEPCION
5860,VALDEACEDERAS
5556,ARAPILES
5911,PALOMERAS BAJAS
5959,SAN ANDRES
10524652,QUINTANA
5160405,COSTILLARES
5399062,PUEBLO NUEVO
5399084,MARROQUINA
7564901,TRAFALGAR
5050,CANILLEJAS
54292,PROSPERIDAD
104110,CIUDAD JARDIN
4701740,VALVERDE
5042,PINAR DEL REY
5399140,CANILLAS
5786529,ACACIAS
5841,BELLAS VISTAS
5732,CASCO H.VALLECAS
5399153,VALVERDE
190209,ARAVACA
4725727,ROSAS
10124355,VALDEFUENTES
181122,VALLEHERMOSO
4693282,BUTARQUE
4710990,COSTILLARES
5399164,LOS ANGELES
5726,VISTA ALEGRE
42108,CASCO H.VICALVARO
181127,EL GOLOSO
4693116,ALUCHE
5399190,SIMANCAS
6226801,PEÑA GRANDE
5067,PALOMERAS SURESTE
5884,ALUCHE
6802715,CHOPERA
5736,CHOPERA
176582,CHOPERA
62375,PROSPERIDAD
55850,ARCOS
6318091,ALUCHE
167963,ENTREVIAS
5057,ORCASITAS
4983698,VALLEHERMOSO
11141038,GUINDALERA
5888,DELICIAS
5483,EL PILAR
11138108,PEÑA GRANDE
104216,NIÑO JESUS
11035014,VALDEFUENTES
5990,VENTAS
5037,BUENAVISTA
5046,PUERTA DEL ANGEL
5399429,CUATRO CAMINOS
5145583,CASCO H.VALLECAS
5786560,VALVERDE
5444,EL VISO
5068,PALOMERAS BAJAS
174507,EL VISO
5034453,VALDEFUENTES
5145532,COSTILLARES
5035,SAN ISIDRO
5038,NUEVA ESPAÑA
5399449,EMBAJADORES
5979,VENTAS
134237,CUATRO CAMINOS
5392,VALLEHERMOSO
5059,SAN FERMIN
104655,VALDEZARZA
5399493,SAN PASCUAL
5980,VALDEZARZA
10915656,GAZTAMBIDE
5400019,LUCERO
5791,VISTA ALEGRE
5793,ORCASUR
5813,ABRANTES
5474,PEÑA GRANDE
4984176,VALVERDE
178905,PINAR DEL REY
6164920,GOYA
5676,ARAVACA
5677,CANILLAS
5114820,ALUCHE
5932,SANTA EUGENIA
5699,BUTARQUE
5927,QUINTANA
5717,LUCERO
5981,CANILLAS
5324401,SAN CRISTOBAL
174426,SAN DIEGO
5205668,NUMANCIA
4539254,VALVERDE
4701865,EL GOLOSO
6306935,ALMAGRO
7510761,ARAPILES
167651,ROSAS
4712241,LOS CARMENES
11035083,EL GOLOSO
7173843,VALDEFUENTES
6848086,EL PILAR
4710918,PALOMERAS BAJAS
167640,ROSAS
8161696,PACIFICO
6516006,RIOS ROSAS
5398045,PALOMAS
5399918,COMILLAS
5400126,ARAVACA
8165057,EL VISO
104289,CIUDAD UNIVERSITARIA
5399941,VALVERDE
7509520,VALVERDE
167653,ARCOS
4539348,BUTARQUE
5964,FUENTE DEL BERRO
23401,LA PAZ
5775211,OPAÑEL
5337,ARAPILES
5560,RIOS ROSAS
5636,MARROQUINA
5481,VALVERDE
5651,VISTA ALEGRE
177623,ALUCHE
5069,PALOMERAS SURESTE
32433,SANTA EUGENIA
5931,SANTA EUGENIA
5400059,SANTA EUGENIA
5060,ZOFIO
5486,PEÑA GRANDE
179498,VILLAVERDE ALTO C.H.
5247422,PEÑA GRANDE
6220506,DELICIAS
5058,ORCASUR
4701888,CASCO H.VICALVARO
5709629,PALOMERAS BAJAS
10091043,CIUDAD UNIVERSITARIA
81780,JUSTICIA
4569173,PALOS DE MOGUER
6685,SAN ANDRES
6698,ARCOS
125019,VALVERDE
190712,CASCO H.VICÁLVARO
6687,CANILLAS
4953904,BUENAVISTA
6683,ORCASITAS
141421,BELLAS VISTAS
6699,CIUDAD JARDIN
11407777,MEDIA LEGUA
80435,SANTA EUGENIA
4953973,PACIFICO
6616,OPAÑEL
6118469,SAN PASCUAL
6662,EMBAJADORES
6114038,VALLEHERMOSO
6661,PAVONES
6617,ARCOS
6663,JUSTICIA
6618,PEÑA GRANDE
6650,ORCASUR
7530184,CIUDAD UNIVERSITARIA
10936366,ALMENARA
6259,ENTREVIAS
11650138,PALOS DE LA FRONTERA
6673,UNIVERSIDAD
6695,PALACIO
6677,MARROQUINA
6460543,PACIFICO
20812,ATALAYA
8187776,GOYA
10091341,PALACIO
5902219,JUSTICIA
11641259,PROSPERIDAD
6236,BELLAS VISTAS
39386,RECOLETOS
6373,CIUDAD UNIVERSITARIA
6369,VISTA ALEGRE
136331,CHOPERA
11381988,RIOS ROSAS
22248,PIOVERA
29971,NUEVA ESPAÑA
12004930,ARAVACA
12338092,CASA DE CAMPO
4620440,ALAMEDA DE OSUNA
4620845,ENTREVIAS
5726383,LOS ROSALES
6556,EL VISO
10089702,PROSPERIDAD
9104,CIUDAD UNIVERSITARIA
11298560,TIMON
9098,IBIZA
9099,NIÑO JESUS
9106,ORCASUR
9100,LISTA
4820572,SANTA EUGENIA
9105,LA PAZ
9102,VALVERDE
9110,GOYA
61612,RECOLETOS
6840,FUENTELARREINA
7116901,EL VISO
10091058,UNIVERSIDAD
11987196,SAN ISIDRO
6839,ARAVACA
6254,BUENAVISTA
6087,ALAMEDA DE OSUNA
8145525,ROSAS
11167230,ARAVACA
6088,PALOMERAS SURESTE
10773928,PACIFICO
6089,BUENAVISTA
6090,ENTREVIAS
6091,APOSTOL SANTIAGO
6092,GUINDALERA
6209,ALAMEDA DE OSUNA
6159,PUEBLO NUEVO
6150,SIMANCAS
6094,RECOLETOS
6095,ALUCHE
6096,OPAÑEL
6097,UNIVERSIDAD
6098,EL PILAR
6099,ARCOS
6207,FONTARRON
6100,SAN ANDRES
6101,EMBAJADORES
6160,ORCASUR
6102,LOS ANGELES
6103,VALDEZARZA
6086,EL GOLOSO
6232,PROSPERIDAD
6104,CANILLAS
6105,LA PAZ
6106,PUERTA DEL ANGEL
62684,LOS ROSALES
6217,CASA DE CAMPO
6108,OPAÑEL
6109,OPAÑEL
6161,ORCASUR
6213,CASA DE CAMPO
6214,CASA DE CAMPO
6110,PAVONES
6111,ALMAGRO
5793753,BUENAVISTA
6112,VENTAS
6165,ARCOS
6223,CANILLAS
6119,PINAR DEL REY
6113,LAS AGUILAS
6115,HELLIN
6116,IMPERIAL
6117,EL PILAR
6231,EL GOLOSO
6121,LOS JERONIMOS
6215,VALLEHERMOSO
6122,ALUCHE
100971,CASTILLEJOS
6153,AMBROZ
6123,VALLEHERMOSO
6208,ACACIAS
6124,ORCASITAS
8146395,BUTARQUE
6132,PAVONES
6093,ESTRELLA
6162,ROSAS
6216,LAS AGUILAS
6125,UNIVERSIDAD
97726,PALOMERAS BAJAS
10767946,VALVERDE
6518952,VALDEFUENTES
6126,LAS AGUILAS
10387806,CASCO H.VALLECAS
6127,MEDIA LEGUA
6128,ALUCHE
6129,EL SALVADOR
6130,PUEBLO NUEVO
6133,MIRASIERRA
6225,MEDIA LEGUA
6134,VALDEACEDERAS
101114,NUMANCIA
6136,CASA DE CAMPO
6226,ADELFAS
6155,PALOMERAS SURESTE
6156,ALUCHE
6554627,MOSCARDO
6137,PEÑA GRANDE
53186,ORCASITAS
6218,ZOFIO
6233,PUERTA BONITA
6139,EL VISO
6140,VALDEFUENTES
6131,SAN ISIDRO
6141,MARROQUINA
6118,PINAR DEL REY
6147,SAN PASCUAL
6157,ARCOS
6142,SAN CRISTOBAL
6163,EL GOLOSO
6143,VALLEHERMOSO
6144,EMBAJADORES
6145,SAN JUAN BAUTISTA
6221,TRAFALGAR
6164,SANTA EUGENIA
6148,PALACIO
6149,HISPANOAMERICA
6222,ALMENARA
6152,PORTAZGO
72546,CASCO H.VICALVARO
6227,SAN DIEGO
6228,PALOMERAS BAJAS
6154,CASCO H.VALLECAS
6224,AMBROZ
176063,LOS ROSALES
6158,VALDEZARZA
6210,PUERTA BONITA
6120,PEÑA GRANDE
6219,LA PAZ
109174,LOS JERONIMOS
5007386,COLINA
9357,LA PAZ
6826,LA PAZ
97192,LA PAZ
136647,ARGUELLES
129683,EL VISO
12337910,EL PLANTIO
6646,JUSTICIA
6831,RIOS ROSAS
11989244,GAZTAMBIDE
7531042,CIUDAD UNIVERSITARIA
6966108,NUMANCIA
7531212,NUMANCIA
6177,PALACIO
31469,PALOS DE LA FRONTERA
10710241,PALOS DE LA FRONTERA
6619,PALACIO
10089932,VALDEMARIN
6965771,VALVERDE
11616488,ARAPILES
4979666,COLINA
6781,CORTES
16,CORTES
10405950,VALDEMARIN
10014347,EL PILAR
6802,TRAFALGAR
6070,EMBAJADORES
6692,PUERTA BONITA
6688,EMBAJADORES
6680,NIÑO JESUS
6334335,LOS JERONIMOS
124469,CIUDAD UNIVERSITARIA
11954914,
11163416,UNIVERSIDAD
55233,GAZTAMBIDE
168328,EL GOLOSO
185968,RIOS ROSAS
7614004,CASCO H.VICALVARO
6461002,TRAFALGAR
8154142,ARGUELLES
11954900,GOYA
84708,PALACIO
6296,VALLEHERMOSO
4815242,SAN ANDRES
4813751,EL PARDO
4813737,MIRASIERRA
4815112,CANILLAS
5709413,VINATEROS
8000760,ENTREVIAS
4816516,FUENTE DEL BERRO
4812338,PALOS DE LA FRONTERA
4815363,SANTA EUGENIA
4815051,PAVONES
4814996,SAN DIEGO
8071924,REJAS
11875008,CASA DE CAMPO
8637537,
4815414,CASCO H.VICALVARO
5753713,OPAÑEL
5753557,ARAPILES
6924985,PINAR DEL REY
8071938,REJAS
4813757,VALDEZARZA
4815257,BUTARQUE
6468021,ALMENARA
4812602,CIUDAD JARDIN
4815260,SAN ANDRES
5753637,EL GOLOSO
10751094,CANILLAS
4814223,OPAÑEL
5753811,SAN CRISTOBAL
6478893,VALDEFUENTES
4815268,LOS ROSALES
4815389,VALDEBERNARDO
11745306,DELICIAS
7989332,ADELFAS
12205090,VALDERRIVAS
4814317,ALMENDRALES
4815493,CASCO H.BARAJAS
11947734,RECOLETOS
7988710,IBIZA
5753771,ENTREVIAS
8071910,CANILLEJAS
6460544,LISTA
7531916,GUINDALERA
6293,JUSTICIA
136322,CHOPERA
6805,CHOPERA
180384,CHOPERA
139974,CHOPERA
6302,VALLEHERMOSO
30856,REJAS
41729,LAS AGUILAS
6286,PUERTA BONITA
6285,CASCO H.VALLECAS
41732,PORTAZGO
41734,ORCASUR
54154,TRAFALGAR
10109167,UNIVERSIDAD
11652695,GAZTAMBIDE
32179,EL GOLOSO
6403,CIUDAD UNIVERSITARIA
6374,MIRASIERRA
6352,EL GOLOSO
6353,EL GOLOSO
6354,EL GOLOSO
6355,EL GOLOSO
6360,EL GOLOSO
6357,LA PAZ
6356,EL GOLOSO
5741367,ALMAGRO
12007239,NUEVA ESPAÑA
6337,VALLEHERMOSO
5321256,CIUDAD UNIVERSITARIA
5412137,CIUDAD UNIVERSITARIA
6492,CIUDAD UNIVERSITARIA
6501,UNIVERSIDAD
6320,CIUDAD UNIVERSITARIA
6306,CIUDAD UNIVERSITARIA
6385,TRAFALGAR
6319,CIUDAD UNIVERSITARIA
6307,CIUDAD UNIVERSITARIA
6305,CIUDAD UNIVERSITARIA
6313,CIUDAD UNIVERSITARIA
6308,CIUDAD UNIVERSITARIA
44824,VALLEHERMOSO
6316,CIUDAD UNIVERSITARIA
6340,CIUDAD UNIVERSITARIA
6366,CIUDAD UNIVERSITARIA
6365,CIUDAD UNIVERSITARIA
6303,CIUDAD UNIVERSITARIA
6312,CIUDAD UNIVERSITARIA
6310,CIUDAD UNIVERSITARIA
6309,CIUDAD UNIVERSITARIA
54821,CIUDAD UNIVERSITARIA
6304,CIUDAD UNIVERSITARIA
6315,CIUDAD UNIVERSITARIA
6364,ARCOS
6314,CIUDAD UNIVERSITARIA
135620,CIUDAD UNIVERSITARIA
178101,EMBAJADORES
45202,EMBAJADORES
53998,LAS AGUILAS
6177184,VALVERDE
7599405,EMBAJADORES
6376,CIUDAD UNIVERSITARIA
6424,CIUDAD UNIVERSITARIA
6381,CIUDAD UNIVERSITARIA
6418,CIUDAD UNIVERSITARIA
6419,CIUDAD UNIVERSITARIA
6422,CIUDAD UNIVERSITARIA
6379,PALOMERAS SURESTE
6387,PALOS DE LA FRONTERA
6417,
6420,CIUDAD UNIVERSITARIA
11999975,LOS JERONIMOS
6421,RIOS ROSAS
6375,CIUDAD UNIVERSITARIA
6380,PALOMERAS SURESTE
6427,EL VISO
6423,CIUDAD UNIVERSITARIA
6446,CIUDAD UNIVERSITARIA
6429,UNIVERSIDAD
6346,EL GOLOSO
6349,UNIVERSIDAD
6348,EL GOLOSO
11392787,UNIVERSIDAD
6345,UNIVERSIDAD
4961029,GAZTAMBIDE